"","HF1","HF2","HF3","HFK1","HFK2","HFK3"
"peak1340",23.3521888110031,63.7602734688304,36.0870387370706,29.4462310166798,28.0586639981844,50.9885713129522
"peak1341",6.36877876663721,20.2873597400824,15.4658737444588,5.45300574382959,9.90305788171212,14.3629778346344
"peak1342",38.2126725998233,84.0476332089127,61.8634949778354,40.352242504339,47.8647797616086,70.3785913897086
"peak1343",377.880873487141,515.878576247809,533.57264418383,78.5232827111461,114.504106757296,149.374969480198
"peak1344",29.7209675776403,20.2873597400824,20.6211649926118,25.0838264216161,21.2503117045073,30.1622534527323
"peak1345",2.12292625554574,11.5927769943328,0,6.54360689259551,6.39572488193908,10.0540844842441
"peak1346",14.8604837888202,31.8801367344152,25.7764562407647,47.9864505457004,60.4499158196178,100.540844842441
"peak1348",2.12292625554574,0,0,5.45300574382959,17.9492924106032,7.18148891731721
"peak1350",8.49170502218295,5.7963884971664,9.02175968426766,6.54360689259551,5.98309747020108,7.18148891731721
"peak1351",6.36877876663721,0,2.57764562407647,7.63420804136142,7.01466599954609,5.02704224212204
"peak1360",0,0,1.28882281203824,13.087213785191,15.6798416460442,8.61778670078065
"peak1361",0,2.8981942485832,1.28882281203824,0,9.90305788171212,8.61778670078065
"peak1363",2.12292625554574,0,0,11.9966126364251,6.60203858780808,14.3629778346344
"peak1380",2.12292625554574,5.7963884971664,0,15.2684160827228,16.0924690577822,22.2626156436833
"peak1387",19.1063362999116,11.5927769943328,30.9317474889177,4.36240459506367,2.06313705869003,0
"peak1390",0,0,0,11.9966126364251,4.53890152911806,15.0811267263661
"peak1391",6.36877876663721,0,0,9.81541033889326,7.6336071171531,4.30889335039032
"peak1401",4.24585251109147,2.8981942485832,0,6.54360689259551,4.53890152911806,8.61778670078065
"peak1403",4.24585251109147,2.8981942485832,2.57764562407647,15.2684160827228,53.4352498200717,71.0967402814403
"peak1411",0,0,0,5.45300574382959,18.3619198223412,6.46334002558548
"peak1418",2.12292625554574,0,6.44411406019118,7.63420804136142,7.42729341128409,9.33593559251237
"peak1422",31.8438938331861,8.69458274574959,12.8882281203824,4.36240459506367,14.8545868225682,9.33593559251237
"peak1426",12.7375575332744,23.1855539886656,7.73293687222942,5.45300574382959,5.77678376433207,7.89963780904893
"peak1432",19.1063362999116,0,2.57764562407647,5.45300574382959,5.15784264672506,9.33593559251237
"peak1433",0,11.5927769943328,1.28882281203824,20.7214218265524,3.09470558803504,12.926680051171
"peak1437",10.6146312777287,0,3.86646843611471,31.6274333142116,9.28411676410512,9.33593559251237
"peak1439",78.5482714551923,20.2873597400824,59.2858493537589,7.63420804136142,11.5535675286641,14.3629778346344
"peak1441",8.49170502218295,2.8981942485832,1.28882281203824,16.3590172314888,17.7429787047342,15.7992756180979
"peak1448",2.12292625554574,11.5927769943328,2.57764562407647,13.087213785191,11.1409401169261,4.30889335039032
