peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak12679,Dsc2,ENSMUSG00000024331,P55292,13506,2.330060849,0.049975494,0.629510541,0.011185646,0.275730201,2.73E-05,3.235301591
peak9410,Ywhaz,ENSMUSG00000022285,P63101,22631,2.545454447,0.025895122,0.504744199,6.49E-05,0.147254409,7.17E-04,3.197453056
peak16915,Txnip,ENSMUSG00000038393,Q8BG60,56338,2.124591547,7.09E-06,0.848608853,2.91E-04,0.184348634,0.033079634,3.157549034
peak9721,Myh9,ENSMUSG00000022443,Q8VDD5,17886,2.155474598,0.016280313,0.672775256,0.008833534,0.282576051,4.98E-04,3.110825905
peak3245,Rap1b,ENSMUSG00000052681,Q99JI6,215449,2.686402322,0.028204984,0.324412751,0.019203916,0.076678821,0.006033339,3.087493894
peak16854,Mcl1,ENSMUSG00000038612,P97287,17210,1.721065502,0.009711369,1.124991075,3.88E-05,0.224088955,0.002882615,3.070145533
peak367,Acsl3,ENSMUSG00000032883,Q9CZW4,74205,1.619507337,0.0274794,1.168432812,1.00E-07,0.278874388,6.20E-04,3.066814537
peak14148,Tjp2,ENSMUSG00000024812,Q9Z0U1,21873,2.013511608,0.042150082,0.711658245,0.00108195,0.254202373,4.34E-04,2.979372226
peak9840,Cyb5r3,ENSMUSG00000018042,Q9DCN2,109754,2.494207593,9.97E-06,0.289165385,0.046923267,0.195469387,0.008456556,2.978842365
peak16920,Txnip,ENSMUSG00000038393,Q8BG60,56338,1.891689561,7.22E-04,0.848608853,2.91E-04,0.184348634,0.033079634,2.924647048
peak267,Arpc2,ENSMUSG00000006304,Q9CVB6,76709,2.004012247,0.016456161,0.681183654,5.83E-06,0.220343227,7.17E-04,2.905539128
peak16921,Txnip,ENSMUSG00000038393,Q8BG60,56338,1.842426359,6.35E-05,0.848608853,2.91E-04,0.184348634,0.033079634,2.875383846
peak16913,Txnip,ENSMUSG00000038393,Q8BG60,56338,1.84147716,4.80E-04,0.848608853,2.91E-04,0.184348634,0.033079634,2.874434647
peak15836,Ctnnd1,ENSMUSG00000034101,P30999,12388,2.066942806,0.0229099,0.524058897,0.005038352,0.264375183,3.26E-04,2.855376886
peak13165,Atl3,ENSMUSG00000024759,Q91YH5,109168,1.87620413,0.030064831,0.678867314,9.89E-09,0.281896472,0.001066087,2.836967916
peak5460,Jup,ENSMUSG00000001552,Q02257,16480,1.745563006,0.028652935,0.719481955,2.64E-04,0.33040848,1.86E-04,2.795453441
peak1232,Mgat4a,ENSMUSG00000026110,Q812G0,269181,1.63136596,0.03974655,0.84880265,0.035901388,0.236041936,1.25E-04,2.716210546
peak5238,Tom1l1,ENSMUSG00000020541,Q923U0,71943,1.922128144,0.00111178,0.407049907,0.035236089,0.373424339,2.44E-04,2.702602391
peak1212,Mgat4a,ENSMUSG00000026110,Q812G0,269181,1.599207338,0.020031597,0.84880265,0.035901388,0.236041936,1.25E-04,2.684051924
peak26159,Adam10,ENSMUSG00000054693,O35598,11487,1.985022949,0.004979931,0.524871459,0.004582585,0.1207231,0.002210686,2.630617509
peak16918,Txnip,ENSMUSG00000038393,Q8BG60,56338,1.579664802,0.002216943,0.848608853,2.91E-04,0.184348634,0.033079634,2.612622289
peak14117,Ostf1,ENSMUSG00000024725,Q62422,20409,1.99055913,0.00602654,0.428909093,0.014200977,0.140449477,0.001058242,2.559917701
peak9405,Ywhaz,ENSMUSG00000022285,P63101,22631,1.874859084,0.004626979,0.504744199,6.49E-05,0.147254409,7.17E-04,2.526857692
peak16311,Sdc4,ENSMUSG00000017009,O35988,20971,1.599663151,0.005908302,0.698494999,0.005748678,0.20280841,0.032665937,2.50096656
peak16312,Sdc4,ENSMUSG00000017009,O35988,20971,1.531575215,0.016918062,0.698494999,0.005748678,0.20280841,0.032665937,2.432878624
peak20241,Lrch4,ENSMUSG00000093445,Q921G6,231798,1.393218019,0.00346341,0.582259019,0.027067122,0.124168078,0.012620793,2.099645116
peak16912,Txnip,ENSMUSG00000038393,Q8BG60,56338,1.041244227,0.044691095,0.848608853,2.91E-04,0.184348634,0.033079634,2.074201714
peak23070,Cyfip1,ENSMUSG00000030447,Q7TMB8,20430,1.433120305,0.002703746,0.424767677,0.013889876,0.173217966,0.002203232,2.031105948
peak8263,Mtmr6,ENSMUSG00000021987,Q8VE11,219135,1.271762686,0.044051242,0.487373777,0.005680801,0.105637108,0.027766621,1.864773571
peak4007,Pitpna,ENSMUSG00000017781,P53810,18738,1.346155277,0.025480175,0.384057118,0.00469646,0.115973272,0.00306267,1.846185666
