"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"peak15122",8.31385918276281,1.25583491604983,0.788977410102932,1.59172480728693,0.111446551782702,0.165381995419788
"peak15124",4.23359426426005,4.58185728561418,1.43917737015952,3.18366407130646,0.00145423672335327,0.00595101778835422
"peak15141",35.8677085023973,2.38654040722381,0.628270941256456,3.79858473551404,0.000145524677889323,0.00102425553337958
"peak15148",11.6906655854176,1.67116165649323,0.830950530126086,2.01114458190387,0.0443101873464612,0.079003327228676
"peak15149",8.95259133594245,2.06512408252996,0.843055786323133,2.44956990513842,0.0143026943519435,0.0329243118833529
"peak15154",6.68745346650903,1.25931124764478,0.83623522627375,1.50592944195409,0.132085287565764,0.189949198664665
"peak15156",29.3843853302074,1.86182512279325,0.599731258658652,3.10443235351342,0.00190644517364995,0.00725662118656245
"peak15157",22.4473904690433,1.57207302939121,0.562194315512934,2.7963161241801,0.00516888142248637,0.0150288026145615
"peak15159",5.61635941200995,1.39326105875808,1.00517119394201,1.38609330147443,0.165718415519912,0.229116844768047
"peak15174",6.95802926561432,0.381476953285953,0.835444954135842,0.456615305888754,0.647947575838945,0.706198704439119
"peak15177",3.53703121045635,3.18020524779827,1.37147148228301,2.31882710568969,0.0204044128515181,0.0428158171310543
"peak15184",4.65195352202508,2.56144178643536,1.21845730236992,2.10220069382268,0.0355356990683829,0.0665040760531723
"peak15186",161.444036849383,-2.76522922637429,0.404317155251785,-6.83925772244877,7.96045625732683e-12,5.21599419527701e-10
"peak15191",6.8892537061142,2.47802266407457,1.05959554936385,2.33864955884565,0.0193535776882013,0.0411605244798702
"peak15194",13.0782398105387,5.14263321714792,1.26037582671217,4.08023790059751,4.49896321780682e-05,0.000388733022775647
"peak15199",5.2483004393128,2.02219788740947,1.11119290061319,1.81984413893713,0.0687827438016356,0.111314384558719
"peak15225",9.56931293230014,4.69674249252979,1.31922175653352,3.56023729086402,0.000370519828135258,0.00212431368130881
"peak15230",10.55347431404,5.83518224251711,1.29021564493761,4.52264105261202,6.10727609520104e-06,7.57495647986393e-05
"peak15231",16.8505177082895,-0.243670093319718,0.631657653106097,-0.385762908311964,0.699672267865903,0.752441610459932
"peak15233",4.26505118625441,4.48800914693935,1.45437335451795,3.08587140502646,0.00202956577015901,0.0075477905398346
"peak15251",18.1385859225102,0.0688218670063444,0.592665939598389,0.116122527731188,0.907555435043153,0.929855754742649
"peak15252",32.1671683737709,3.58513632099659,0.772975312317562,4.63809938540922,3.51627704027792e-06,4.72433803512215e-05
"peak15255",13.3623728300879,-3.22312268948118,0.684431377149813,-4.70919773272709,2.48693722201312e-06,3.53697738241866e-05
"peak15257",6.42572427898729,0.212909276102643,0.788412814856461,0.270047964836043,0.787123353279913,0.827253568159755
"peak15259",9.14078742861722,-0.00723995808292953,0.777085420084398,-0.00931681111986789,0.992566367795255,0.9954601472932
"peak15261",3.7331543652442,3.27775832034189,1.36541001245751,2.4005670754109,0.0163696903514011,0.0362572731021287
"peak15262",10.6810060517599,-0.791780354232871,0.613694520873157,-1.29018644831037,0.196985930193043,0.264699843696901
"peak15263",5.47351410538042,1.5381508667695,0.931363674023623,1.6515040361457,0.0986356972859636,0.149393315287581
"peak15266",7.91145723134576,5.40869502047624,1.31663949876444,4.10795439871876,3.9917889123992e-05,0.000353797200867072
"peak15282",10.1522120473051,-0.684289199895993,0.678581876872139,-1.00841066232149,0.313257356375537,0.388238795201746
"peak15290",4.89473739582323,4.67500353265994,1.4373626198545,3.25248720683524,0.00114399745533477,0.00498935181787844
"peak15291",3.8102896004321,3.37088422694362,1.35986210851771,2.4788426751724,0.013180943026747,0.0309504737283342
"peak15298",7.14087419793323,1.14556569280056,0.818284539532779,1.39996008412264,0.161525271807838,0.224617255187049
"peak15302",6.13215887223287,3.22837637096364,1.18592211476116,2.7222499106645,0.00648390887886087,0.0179333841554021
"peak15303",9.15809335142491,1.18544549918779,0.760096852468282,1.5595979582579,0.118854919316654,0.174400820026357
"peak15304",36.2331687101747,5.20673687701752,0.985731242809983,5.28210596447658,1.2770729350104e-07,2.74570681027236e-06
"peak15308",3.72533341841743,3.12716492899263,1.37809172425739,2.26919941100275,0.0232562020753573,0.0474609329709925
"peak15311",3.98894586193643,4.46742916548552,1.37320848034655,3.25327816527765,0.0011408176135548,0.00498293711033862
"peak15312",6.57631349747065,2.59043079061259,1.02822651685307,2.51931918517402,0.0117582014150328,0.0284221082952748
"peak15315",18.4640198734844,-0.888322565788788,0.622280532620979,-1.42752748836167,0.153427907693433,0.215205709466019
"peak15317",5.73809540040156,2.89693130081053,1.20771939550452,2.39867912330774,0.0164543265303056,0.0363859434402579
"peak15323",5.74190430008607,0.430076125425766,0.926603089594556,0.464142770788678,0.642545460124605,0.701561240334423
"peak15328",54.9272803694073,2.18278745404753,0.523773966359836,4.16742257966282,3.08063090591027e-05,0.000287386313663223
"peak15329",33.887890517441,2.24831735043862,0.553361791139003,4.06301516736606,4.84428805495972e-05,0.000412101413516203
"peak15330",19.897889886875,3.55599884684918,0.805894392354345,4.41248739361576,1.02189746465846e-05,0.000113856753957088
"peak15331",5.80843307088451,2.25693839566459,1.03970327035298,2.17075242525529,0.0299498919462448,0.0579010204679071
"peak15332",9.32414364287676,2.76157811610618,0.936571701774729,2.94860298562642,0.00319213762539322,0.0103900209876785
"peak15333",43.9599588424081,1.1023978037529,0.458143190176039,2.40622981502641,0.0161181216620639,0.0358781875986821
"peak15335",5.8760463569729,2.14334685398603,1.03474835631165,2.07137014609616,0.0383242185746298,0.070769849006637
"peak15337",9.01121070627225,3.0740196685973,1.01301819301009,3.03451575678332,0.00240922170163825,0.0085740046006315
"peak15339",15.0031219060225,0.727050993603275,0.60795447983636,1.19589709051732,0.231736720697188,0.3016742929795
"peak15340",7.30704506326128,1.38787087834613,0.883611927647838,1.57067920307575,0.116257182270475,0.171182325098099
"peak15341",38.8291877004214,-2.47771927746491,0.697249855152961,-3.55356011787389,0.000380054321157895,0.00217219001417763
"peak15358",31.2030764500679,-0.0358150323811751,0.463343523432551,-0.077296931045565,0.938387332275583,0.953634393804433
"peak15362",175.939860742918,-0.917495901627566,0.402503234988518,-2.27947460261714,0.022638868029567,0.0465636508351034
"peak15368",1.90338448313192,3.33210583701608,1.51433503778245,2.20037557996118,0.0277802589411091,0.0546666232434268
